cod_com,comuna,agno,grado,prom_nat2m_com,dif_nat2m_com,sigdif_nat2m_com
5109,Viña del Mar,2018,2m,253,0,0
5201,Isla de Pascua,2018,2m,225,-15,-1
5703,Llaillay,2018,2m,231,5,0
5704,Panquehue,2018,2m,267,16,1
5705,Putaendo,2018,2m,233,11,0
5706,Santa María,2018,2m,237,0,0
5101,Valparaíso,2018,2m,239,3,0
5102,Casablanca,2018,2m,241,4,0
5301,Los Andes,2018,2m,238,3,0
5302,Calle Larga,2018,2m,234,-7,0
5303,Rinconada,2018,2m,254,-5,0
5304,San Esteban,2018,2m,224,3,0
5701,San Felipe,2018,2m,251,6,0
5702,Catemu,2018,2m,233,9,0
5502,La Calera,2018,2m,238,-4,0
5503,Hijuelas,2018,2m,240,13,1
5504,La Cruz,2018,2m,235,12,0
5506,Nogales,2018,2m,224,0,0
5802,Limache,2018,2m,230,4,0
5803,Olmué,2018,2m,218,3,0
6101,Rancagua,2018,2m,251,-1,0
6102,Codegua,2018,2m,222,1,0
6103,Coinco,2018,2m,213,-19,-1
6104,Coltauco,2018,2m,228,7,0
6105,Doñihue,2018,2m,244,-12,-1
6106,Graneros,2018,2m,217,-2,0
6204,Marchihue,2018,2m,245,10,0
6205,Navidad,2018,2m,236,-10,0
6206,Paredones,2018,2m,215,0,0
6308,Placilla,2018,2m,218,-8,0
6309,Pumanque,2018,2m,NA,NA,NA
6310,Santa Cruz,2018,2m,252,3,0
6201,Pichilemu,2018,2m,240,2,0
6202,La Estrella,2018,2m,NA,NA,NA
6203,Litueche,2018,2m,257,2,0
6302,Chépica,2018,2m,211,-13,-1
6303,Chimbarongo,2018,2m,237,7,0
6304,Lolol,2018,2m,239,15,1
6305,Nancagua,2018,2m,237,6,0
6306,Palmilla,2018,2m,210,-4,0
6307,Peralillo,2018,2m,225,-1,0
6108,Machalí,2018,2m,263,-2,0
6109,Malloa,2018,2m,218,-1,0
6110,Mostazal,2018,2m,217,13,0
6111,Olivar,2018,2m,244,5,0
6112,Peumo,2018,2m,241,26,1
